period,category,amount,notes
2022-01,inflow,45000,Early customer revenue
2022-01,outflow,-180000,Payroll (15 employees)
2022-01,outflow,-25000,Office rent and utilities
2022-01,outflow,-35000,Cloud infrastructure (AWS/GCP)
2022-02,inflow,52000,Customer revenue
2022-02,outflow,-185000,Payroll
2022-02,outflow,-25000,Office rent and utilities
2022-02,outflow,-38000,Cloud infrastructure
2022-03,inflow,48000,Customer revenue
2022-03,outflow,-190000,Payroll
2022-03,outflow,-25000,Office rent and utilities
2022-03,outflow,-40000,Cloud infrastructure
2022-04,inflow,61000,Customer revenue
2022-04,outflow,-195000,Payroll
2022-04,outflow,-25000,Office rent and utilities
2022-04,outflow,-42000,Cloud infrastructure
2022-05,inflow,58000,Customer revenue
2022-05,outflow,-200000,Payroll
2022-05,outflow,-25000,Office rent and utilities
2022-05,outflow,-45000,Cloud infrastructure
2022-06,inflow,550000,Pre-Seed funding round
2022-06,inflow,67000,Customer revenue
2022-06,outflow,-205000,Payroll
2022-06,outflow,-25000,Office rent and utilities
2022-06,outflow,-48000,Cloud infrastructure
2022-07,inflow,73000,Customer revenue
2022-07,outflow,-220000,Payroll (20 employees)
2022-07,outflow,-30000,Office rent and utilities
2022-07,outflow,-52000,Cloud infrastructure
2022-08,inflow,81000,Customer revenue
2022-08,outflow,-225000,Payroll
2022-08,outflow,-30000,Office rent and utilities
2022-08,outflow,-55000,Cloud infrastructure
2022-09,inflow,89000,Customer revenue
2022-09,outflow,-230000,Payroll
2022-09,outflow,-30000,Office rent and utilities
2022-09,outflow,-58000,Cloud infrastructure
2022-10,inflow,94000,Customer revenue
2022-10,outflow,-235000,Payroll
2022-10,outflow,-30000,Office rent and utilities
2022-10,outflow,-61000,Cloud infrastructure
2022-11,inflow,102000,Customer revenue
2022-11,outflow,-240000,Payroll
2022-11,outflow,-30000,Office rent and utilities
2022-11,outflow,-64000,Cloud infrastructure
2022-12,inflow,118000,Customer revenue
2022-12,outflow,-245000,Payroll
2022-12,outflow,-30000,Office rent and utilities
2022-12,outflow,-68000,Cloud infrastructure
2022-12,outflow,-50000,Year-end bonuses and taxes
2023-01,inflow,126000,Customer revenue
2023-01,outflow,-265000,Payroll (25 employees)
2023-01,outflow,-35000,Office rent and utilities
2023-01,outflow,-72000,Cloud infrastructure
2023-02,inflow,138000,Customer revenue
2023-02,outflow,-270000,Payroll
2023-02,outflow,-35000,Office rent and utilities
2023-02,outflow,-75000,Cloud infrastructure
2023-03,inflow,4000000,Seed funding round
2023-03,inflow,152000,Customer revenue
2023-03,outflow,-275000,Payroll
2023-03,outflow,-35000,Office rent and utilities
2023-03,outflow,-45000,GPU lease payment (Lease #1 starts)
2023-03,outflow,-75000,Cloud infrastructure
2023-03,outflow,-8000,LLM APIs and developer tools
2023-04,inflow,167000,Customer revenue
2023-04,outflow,-310000,Payroll (35 employees)
2023-04,outflow,-40000,Office rent and utilities
2023-04,outflow,-45000,GPU lease payment
2023-04,outflow,-40000,Cloud infrastructure
2023-04,outflow,-10000,LLM APIs and developer tools
2023-05,inflow,183000,Customer revenue
2023-05,outflow,-320000,Payroll
2023-05,outflow,-40000,Office rent and utilities
2023-05,outflow,-45000,GPU lease payment
2023-05,outflow,-43000,Cloud infrastructure
2023-05,outflow,-12000,LLM APIs and developer tools
2023-06,inflow,201000,Customer revenue
2023-06,outflow,-330000,Payroll
2023-06,outflow,-40000,Office rent and utilities
2023-06,outflow,-45000,GPU lease payment
2023-06,outflow,-47000,Cloud infrastructure
2023-06,outflow,-15000,LLM APIs and developer tools
2023-07,inflow,224000,Customer revenue
2023-07,outflow,-340000,Payroll
2023-07,outflow,-40000,Office rent and utilities
2023-07,outflow,-45000,GPU lease payment
2023-07,outflow,-51000,Cloud infrastructure
2023-07,outflow,-17000,LLM APIs and developer tools
2023-08,inflow,247000,Customer revenue
2023-08,outflow,-350000,Payroll
2023-08,outflow,-40000,Office rent and utilities
2023-08,outflow,-45000,GPU lease payment
2023-08,outflow,-55000,Cloud infrastructure
2023-08,outflow,-19000,LLM APIs and developer tools
2023-09,inflow,271000,Customer revenue
2023-09,outflow,-360000,Payroll
2023-09,outflow,-40000,Office rent and utilities
2023-09,outflow,-45000,GPU lease payment
2023-09,outflow,-60000,Cloud infrastructure
2023-09,outflow,-22000,LLM APIs and developer tools
2023-10,inflow,298000,Customer revenue
2023-10,outflow,-370000,Payroll (40 employees)
2023-10,outflow,-42000,Office rent and utilities
2023-10,outflow,-73000,GPU lease payments (Leases #1 + #2)
2023-10,outflow,-37000,Cloud infrastructure
2023-10,outflow,-24000,LLM APIs and developer tools
2023-11,inflow,327000,Customer revenue
2023-11,outflow,-380000,Payroll
2023-11,outflow,-42000,Office rent and utilities
2023-11,outflow,-73000,GPU lease payments
2023-11,outflow,-42000,Cloud infrastructure
2023-11,outflow,-26000,LLM APIs and developer tools
2023-12,inflow,358000,Customer revenue
2023-12,inflow,250000,Strategic customer annual prepay
